0,7,17,9,7,11,10,13,7,14,7,7,3,19,2
7,0,10,17,15,11,18,4,19,18,9,12,16,18,13
17,10,0,9,4,7,19,3,11,12,9,8,14,7,15
9,17,9,0,1,19,16,1,9,10,19,19,10,13,19
7,15,4,1,0,9,14,16,7,11,1,3,9,5,17
11,11,7,19,9,0,13,4,12,18,5,4,13,2,7
10,18,19,16,14,13,0,4,18,7,15,19,4,1,11
13,4,3,1,16,4,4,0,1,8,18,5,12,17,1
7,19,11,9,7,12,18,1,0,4,13,10,18,13,15
14,18,12,10,11,18,7,8,4,0,10,15,3,6,7
7,9,9,19,1,5,15,18,13,10,0,9,2,16,19
7,12,8,19,3,4,19,5,10,15,9,0,17,9,16
3,16,14,10,9,13,4,12,18,3,2,17,0,15,7
19,18,7,13,5,2,1,17,13,6,16,9,15,0,8
2,13,15,19,17,7,11,1,15,7,19,16,7,8,0
