28,29,34,18,16,6,2,7,24,35,4,1,37,30,36,26,39,20,19,33,14,15,22,17,27,11,23,12,8,5,3,32,21,25,38,9,31,0,10,13,
12,4,13,34,33,8,29,38,3,25,27,28,6,22,5,17,20,36,23,31,37,21,26,19,24,15,0,14,16,30,35,11,10,39,9,32,18,1,2,7,
25,10,24,5,2,15,39,13,30,9,6,38,36,7,37,17,14,26,22,12,0,16,18,8,34,21,33,4,1,35,32,20,27,23,19,11,31,29,3,28,
13,14,30,29,20,23,4,24,8,31,37,3,7,1,32,38,17,19,21,33,22,36,18,25,26,39,27,16,12,5,6,28,9,0,35,10,2,11,15,34,
39,11,31,25,10,24,2,13,19,36,15,26,33,35,12,38,3,18,8,17,5,16,7,21,20,0,22,28,30,23,34,29,6,27,4,37,9,1,32,14,
24,23,34,8,6,20,39,31,18,2,21,16,1,14,4,35,38,13,29,36,3,17,32,11,10,9,22,19,15,5,33,0,26,28,37,25,27,7,12,30,
4,35,32,33,24,31,25,26,13,2,39,18,37,23,1,15,6,21,7,38,29,12,36,8,16,28,0,10,22,5,19,20,3,11,27,17,9,34,30,14,
36,7,35,9,22,8,4,23,11,0,30,6,27,19,39,37,3,2,32,10,29,5,15,25,38,33,12,20,21,31,13,26,28,34,24,18,17,1,14,16,
14,21,34,8,31,10,27,28,17,29,15,38,35,37,16,33,30,1,26,3,18,11,36,24,9,6,19,32,13,0,39,22,7,12,20,25,2,5,23,4,
14,31,37,39,17,25,27,19,30,21,36,8,16,10,9,13,2,38,18,15,28,5,35,34,4,24,11,0,1,20,6,23,7,29,12,22,33,26,32,3,
4,31,35,10,7,26,8,17,32,23,21,2,34,25,13,19,39,38,20,5,24,36,9,15,30,37,0,16,22,33,14,11,1,12,3,28,6,29,18,27,
14,30,35,20,7,36,34,26,17,22,10,1,33,19,18,8,5,15,16,25,4,12,31,23,27,13,0,28,2,24,39,29,9,11,32,37,3,6,21,38,
34,38,5,36,26,20,31,29,24,15,7,2,30,3,13,12,14,39,35,19,0,21,18,22,16,28,4,11,25,37,10,33,32,6,17,1,23,27,9,8,
12,26,3,34,10,16,32,0,17,6,22,27,39,1,4,14,30,31,2,19,36,18,5,15,9,13,28,24,25,11,33,8,37,38,29,20,7,23,21,35,
9,22,28,20,35,37,24,0,30,29,2,23,1,16,17,6,10,19,13,31,36,38,18,15,8,3,32,25,34,12,39,21,27,14,26,11,4,5,33,7,
18,14,15,17,36,9,5,12,11,33,6,29,1,0,27,30,34,26,7,2,19,8,10,21,22,23,35,20,31,16,32,28,25,13,39,38,24,37,3,4,
32,11,34,4,17,14,19,8,2,37,38,20,30,18,27,3,24,33,0,29,6,23,35,36,22,5,39,21,9,15,7,13,12,1,16,10,28,25,26,31,
35,38,25,19,27,29,26,34,6,8,32,39,18,7,12,24,13,0,5,11,36,16,9,31,2,33,21,4,15,28,23,3,37,17,22,30,10,20,14,1,
25,39,36,9,7,19,32,35,8,37,20,11,26,17,0,30,14,1,34,24,13,27,16,12,23,38,2,33,29,3,21,28,10,22,18,5,31,4,15,6,
18,29,13,21,37,27,5,10,17,19,31,11,2,6,20,22,26,9,39,15,36,38,23,35,8,4,0,7,34,1,25,12,28,32,30,24,16,14,33,3,
9,4,31,11,10,8,6,33,21,3,32,17,1,20,37,22,14,30,2,28,13,7,5,34,27,26,24,23,15,12,38,0,29,25,36,35,18,19,39,16,
0,6,18,39,8,7,31,11,20,4,26,37,33,3,1,15,23,10,14,30,13,32,35,17,34,36,5,2,9,24,16,21,29,12,25,22,27,38,19,28,
22,15,31,24,34,25,4,9,37,2,33,32,7,10,23,11,16,29,28,27,18,20,3,39,13,21,19,30,38,26,0,35,12,5,6,1,8,14,36,17,
23,33,28,30,24,5,11,31,0,7,21,27,29,26,34,2,6,36,12,37,3,19,38,25,10,20,4,32,18,9,35,8,1,13,15,22,14,17,39,16,
21,14,33,25,10,4,28,23,12,0,36,7,22,13,24,9,19,1,38,18,5,39,17,31,16,20,29,27,11,8,30,35,15,32,26,37,3,34,6,2,
27,7,21,14,23,8,10,20,19,11,6,36,5,35,9,34,29,0,17,2,30,31,15,26,38,24,18,3,28,1,16,33,39,4,13,25,22,32,12,37,
30,15,25,6,10,27,9,28,8,17,19,35,34,21,31,29,5,24,2,22,7,4,12,26,38,33,36,3,37,1,32,0,23,13,18,39,20,14,11,16,
23,26,30,29,4,5,21,12,6,16,14,13,18,38,3,22,28,25,19,24,35,34,33,15,37,0,17,32,8,31,1,7,36,27,39,9,11,20,2,10,
16,25,38,0,30,32,14,4,9,5,6,11,7,19,18,21,36,22,29,31,35,3,33,1,26,13,28,12,2,34,27,10,15,37,20,23,8,39,17,24,
11,6,38,4,37,18,28,2,1,12,26,34,32,7,35,36,22,0,30,23,33,17,25,21,8,20,19,14,3,31,24,29,9,10,27,13,15,39,16,5,
27,31,33,37,25,8,20,17,9,32,14,6,10,16,36,28,7,15,12,24,4,29,38,13,30,35,1,5,11,21,39,3,26,0,23,2,22,18,19,34,
3,18,8,22,28,25,35,29,10,16,34,4,13,2,15,38,24,17,39,37,20,11,1,9,7,14,0,32,33,26,30,23,21,6,5,36,31,12,19,27,
8,16,25,15,7,5,17,30,37,31,13,0,23,29,10,2,35,36,19,14,12,28,26,20,21,32,24,18,27,38,22,33,11,1,4,3,6,34,39,9,
26,27,23,7,36,13,14,37,29,16,25,5,30,35,4,39,18,6,12,8,20,2,0,11,10,19,3,15,21,38,28,1,33,17,9,24,34,32,31,22,
0,29,32,36,39,4,30,5,35,3,19,26,23,31,16,24,9,12,22,10,1,18,38,27,17,11,34,25,33,6,7,2,37,14,28,15,20,8,13,21,
16,32,37,12,10,39,20,1,13,31,30,35,2,36,15,17,6,11,38,33,18,22,24,28,4,5,14,21,25,27,34,0,8,23,9,7,19,3,29,26,
5,6,12,14,10,19,36,30,4,37,1,39,21,16,7,24,9,26,0,20,32,38,11,15,34,8,31,17,22,18,23,35,2,29,33,13,27,28,25,3,
3,30,19,12,10,33,16,27,13,24,14,6,15,32,29,25,31,38,39,8,0,23,7,28,11,18,21,26,4,35,20,17,5,37,9,2,22,36,34,1,
5,17,39,20,11,2,3,28,14,6,21,0,4,34,29,9,10,8,24,30,36,16,27,26,35,37,25,22,13,15,33,18,32,23,31,19,7,12,1,38,
