0,19,17,17,18,17,5,16,10,12,8,10,18,5,4
19,0,17,7,4,7,6,7,9,19,19,18,3,8,16
17,17,0,18,5,4,18,2,2,12,7,18,6,12,6
17,7,18,0,18,9,15,6,5,4,3,2,12,2,16
18,4,5,18,0,10,12,7,12,11,4,2,9,2,2
17,7,4,9,10,0,3,15,5,18,2,18,11,4,7
5,6,18,15,12,3,0,6,10,11,4,5,13,16,15
16,7,2,6,7,15,6,0,19,7,2,12,19,16,10
10,9,2,5,12,5,10,19,0,9,19,6,8,6,2
12,19,12,4,11,18,11,7,9,0,18,17,8,3,11
8,19,7,3,4,2,4,2,19,18,0,16,16,13,16
10,18,18,2,2,18,5,12,6,17,16,0,6,11,12
18,3,6,12,9,11,13,19,8,8,16,6,0,3,4
5,8,12,2,2,4,16,16,6,3,13,11,3,0,6
4,16,6,16,2,7,15,10,2,11,16,12,4,6,0
