0,39,47,82,37,3,56,71,34,48,72,95,63,21,99,3,42,38,91,74,16,66,74,10,4
39,0,96,71,62,85,81,98,50,2,90,92,67,64,72,29,34,39,89,56,80,9,13,94,43
47,96,0,35,57,91,57,17,32,81,5,98,91,83,6,52,82,98,51,11,30,71,72,90,25
82,71,35,0,2,15,2,5,10,95,31,7,15,6,93,85,51,62,71,8,5,90,13,65,44
37,62,57,2,0,67,37,22,51,36,16,46,53,70,18,17,40,23,7,88,86,53,91,64,90
3,85,91,15,67,0,68,80,89,24,99,90,33,64,31,16,58,88,87,35,27,61,25,31,2
56,81,57,2,37,68,0,7,43,33,19,34,97,8,94,39,1,70,64,28,94,45,39,30,81
71,98,17,5,22,80,7,0,68,34,33,44,83,98,15,40,82,54,58,77,23,8,44,90,93
34,50,32,10,51,89,43,68,0,99,67,68,93,91,99,92,92,30,23,18,22,5,60,52,85
48,2,81,95,36,24,33,34,99,0,23,80,60,48,12,2,46,89,48,55,36,33,65,3,77
72,90,5,31,16,99,19,33,67,23,0,16,3,34,17,97,78,2,10,30,43,23,63,27,84
95,92,98,7,46,90,34,44,68,80,16,0,83,3,28,50,12,45,43,36,42,23,61,35,61
63,67,91,15,53,33,97,83,93,60,3,83,0,63,69,70,1,2,37,51,75,68,28,44,59
21,64,83,6,70,64,8,98,91,48,34,3,63,0,87,73,12,7,50,42,85,37,15,95,64
99,72,6,93,18,31,94,15,99,12,17,28,69,87,0,23,66,84,8,13,61,44,74,4,83
3,29,52,85,17,16,39,40,92,2,97,50,70,73,23,0,90,48,85,5,49,63,89,15,66
42,34,82,51,40,58,1,82,92,46,78,12,1,12,66,90,0,34,57,85,35,95,10,7,78
38,39,98,62,23,88,70,54,30,89,2,45,2,7,84,48,34,0,7,26,12,97,35,83,70
91,89,51,71,7,87,64,58,23,48,10,43,37,50,8,85,57,7,0,98,4,67,64,25,49
74,56,11,8,88,35,28,77,18,55,30,36,51,42,13,5,85,26,98,0,95,75,35,27,1
16,80,30,5,86,27,94,23,22,36,43,42,75,85,61,49,35,12,4,95,0,27,14,77,20
66,9,71,90,53,61,45,8,5,33,23,23,68,37,44,63,95,97,67,75,27,0,51,90,21
74,13,72,13,91,25,39,44,60,65,63,61,28,15,74,89,10,35,64,35,14,51,0,80,7
10,94,90,65,64,31,30,90,52,3,27,35,44,95,4,15,7,83,25,27,77,90,80,0,36
4,43,25,44,90,2,81,93,85,77,84,61,59,64,83,66,78,70,49,1,20,21,7,36,0
