6,12,1,8,9,14,2,3,4,7,0,10,11,5,13,
2,1,0,14,4,8,7,3,6,13,5,10,12,9,11,
2,1,7,14,9,8,0,3,4,11,5,10,12,6,13,
2,1,7,14,9,8,0,3,4,11,5,10,12,6,13,
11,1,0,14,9,8,7,3,5,2,4,10,12,6,13,
5,0,1,14,9,8,7,3,4,11,2,10,12,6,13,
2,1,0,14,9,8,4,3,7,11,5,10,12,6,13,
2,1,0,6,9,8,7,3,4,10,5,11,12,14,13,
2,1,0,14,12,8,7,3,4,11,5,10,9,13,6,
2,1,6,3,9,8,7,14,5,11,4,10,12,0,13,
2,1,0,14,7,12,9,3,4,11,5,10,8,6,13,
8,1,0,12,9,2,10,3,4,11,5,7,14,6,13,
5,1,0,2,14,8,7,3,4,11,6,10,12,9,13,
8,1,0,14,9,2,4,3,7,11,5,10,12,6,13,
2,1,9,14,0,8,7,3,4,11,5,10,12,6,13,
13,1,0,14,7,8,9,3,4,11,10,5,12,6,2,
6,12,0,14,9,8,7,3,4,2,11,1,10,5,13,
2,1,11,14,9,8,7,3,4,0,5,10,12,6,13,
6,12,0,8,9,14,2,3,4,7,1,10,11,5,13,
3,1,0,14,9,8,7,2,4,11,5,10,12,6,13,
2,1,0,3,9,8,7,14,5,12,4,10,11,6,13,
2,12,0,11,9,8,7,3,4,14,5,10,1,6,13,
2,1,8,14,9,7,0,3,4,11,5,10,12,6,13,
2,1,0,14,9,8,7,3,4,11,5,10,12,6,13,
2,1,0,14,9,10,7,3,4,11,5,8,12,6,13,
2,4,0,14,9,8,7,3,1,11,5,10,12,6,13,
14,1,0,5,9,8,7,3,4,2,11,10,12,6,13,
2,1,7,14,9,8,0,3,4,11,5,10,12,6,13,
5,1,0,8,9,14,7,3,4,11,2,10,12,6,13,
9,14,0,1,5,8,7,3,4,11,2,10,12,6,13,
2,1,0,14,9,8,5,3,7,11,4,10,12,6,13,
2,1,0,14,7,8,9,3,4,11,5,10,12,6,13,
9,14,7,8,0,1,2,3,4,11,5,10,12,6,13,
5,8,0,14,9,2,7,3,4,11,1,10,12,6,13,
14,1,0,2,9,8,7,3,4,11,5,10,12,6,13,
2,1,0,3,10,8,7,14,5,11,4,9,12,6,13,
2,1,0,14,9,8,7,3,4,10,5,11,12,6,13,
5,0,1,14,9,8,7,10,4,11,2,3,12,6,13,
11,1,0,14,5,8,7,6,4,2,9,10,12,3,13,
12,6,0,14,9,8,7,3,4,11,5,10,1,2,13,
9,14,0,1,2,8,7,3,4,11,5,10,12,6,13,
14,1,12,2,11,8,7,3,4,13,5,10,0,6,9,
5,14,0,1,9,8,7,3,4,2,11,10,12,6,13,
2,1,0,14,9,8,7,3,4,11,5,10,12,6,13,
