0,73,96,42,25,81,60,10,93,48,66,81,80,67,54,64,56,17,76,46,79,7,97,49,3
73,0,79,93,62,84,92,84,2,18,20,92,41,18,31,50,42,7,75,16,43,32,82,81,69
96,79,0,17,96,69,58,13,66,29,5,25,57,12,59,52,79,24,95,48,19,37,98,1,73
42,93,17,0,69,87,43,60,30,78,66,5,92,95,38,70,20,67,85,28,75,61,35,45,36
25,62,96,69,0,26,22,82,85,63,62,50,6,72,69,5,12,25,51,3,18,55,58,25,24
81,84,69,87,26,0,47,32,36,99,75,96,6,14,52,24,64,83,21,72,41,27,68,96,57
60,92,58,43,22,47,0,62,81,1,41,69,99,30,17,35,3,50,64,53,95,66,79,58,39
10,84,13,60,82,32,62,0,67,86,26,38,61,3,44,66,65,4,93,36,49,63,53,58,91
93,2,66,30,85,36,81,67,0,44,63,24,91,94,67,9,61,17,81,79,62,62,6,66,36
48,18,29,78,63,99,1,86,44,0,44,73,98,99,85,58,23,9,28,95,87,95,20,13,46
66,20,5,66,62,75,41,26,63,44,0,56,37,70,38,83,93,47,91,16,37,42,15,64,32
81,92,25,5,50,96,69,38,24,73,56,0,71,11,97,44,97,7,90,69,36,59,76,93,5
80,41,57,92,6,6,99,61,91,98,37,71,0,52,14,49,24,43,97,65,19,79,87,3,59
67,18,12,95,72,14,30,3,94,99,70,11,52,0,47,88,81,12,41,14,33,86,20,83,90
54,31,59,38,69,52,17,44,67,85,38,97,14,47,0,80,31,81,37,13,93,71,30,11,8
64,50,52,70,5,24,35,66,9,58,83,44,49,88,80,0,39,51,27,29,45,61,37,65,51
56,42,79,20,12,64,3,65,61,23,93,97,24,81,31,39,0,41,66,12,70,9,63,12,80
17,7,24,67,25,83,50,4,17,9,47,7,43,12,81,51,41,0,48,92,95,57,86,10,87
76,75,95,85,51,21,64,93,81,28,91,90,97,41,37,27,66,48,0,30,73,16,26,9,47
46,16,48,28,3,72,53,36,79,95,16,69,65,14,13,29,12,92,30,0,89,68,6,53,21
79,43,19,75,18,41,95,49,62,87,37,36,19,33,93,45,70,95,73,89,0,77,16,1,46
7,32,37,61,55,27,66,63,62,95,42,59,79,86,71,61,9,57,16,68,77,0,65,24,29
97,82,98,35,58,68,79,53,6,20,15,76,87,20,30,37,63,86,26,6,16,65,0,68,88
49,81,1,45,25,96,58,58,66,13,64,93,3,83,11,65,12,10,9,53,1,24,68,0,52
3,69,73,36,24,57,39,91,36,46,32,5,59,90,8,51,80,87,47,21,46,29,88,52,0
