0,62,87,17,85,73,4,9,23,2,83,5,74,19,76,39,28,31,87,61
62,0,6,5,58,89,32,54,78,66,9,40,52,67,62,71,44,5,86,30
87,6,0,88,56,65,19,53,56,77,75,64,61,77,81,59,15,39,17,75
17,5,88,0,85,20,85,31,25,70,13,59,95,24,21,42,3,79,35,82
85,58,56,85,0,14,32,69,92,2,31,85,40,14,69,83,85,98,24,39
73,89,65,20,14,0,64,12,3,94,8,65,75,86,19,20,94,91,61,72
4,32,19,85,32,64,0,18,25,99,82,4,70,45,6,89,44,71,28,85
9,54,53,31,69,12,18,0,44,3,90,60,60,42,29,20,64,32,51,71
23,78,56,25,92,3,25,44,0,90,86,21,64,5,7,29,33,29,32,82
2,66,77,70,2,94,99,3,90,0,71,97,10,72,15,37,26,12,85,40
83,9,75,13,31,8,82,90,86,71,0,24,26,36,74,96,66,83,76,21
5,40,64,59,85,65,4,60,21,97,24,0,49,98,65,37,56,34,53,68
74,52,61,95,40,75,70,60,64,10,26,49,0,25,90,1,66,17,96,85
19,67,77,24,14,86,45,42,5,72,36,98,25,0,46,80,23,57,91,51
76,62,81,21,69,19,6,29,7,15,74,65,90,46,0,84,23,42,56,47
39,71,59,42,83,20,89,20,29,37,96,37,1,80,84,0,40,63,58,35
28,44,15,3,85,94,44,64,33,26,66,56,66,23,23,40,0,9,33,74
31,5,39,79,98,91,71,32,29,12,83,34,17,57,42,63,9,0,33,30
87,86,17,35,24,61,28,51,32,85,76,53,96,91,56,58,33,33,0,72
61,30,75,82,39,72,85,71,82,40,21,68,85,51,47,35,74,30,72,0
