35,34,13,16,24,1,20,33,0,18,46,42,47,29,25,2,27,17,32,48,31,40,45,38,21,7,5,36,30,12,9,49,41,15,22,14,44,11,10,43,28,23,4,8,26,19,39,3,6,37,
19,45,35,4,12,18,41,43,30,0,26,1,11,9,27,3,42,23,15,20,17,29,7,6,36,48,44,2,25,32,10,5,40,49,34,21,33,46,38,8,16,14,37,22,39,24,13,47,28,31,
10,0,43,32,22,46,36,28,24,6,21,30,41,47,27,26,42,19,33,7,35,31,34,25,13,3,37,4,18,29,39,12,11,20,23,14,15,8,49,40,38,2,9,16,5,1,45,44,17,48,
25,23,40,48,9,17,7,21,20,27,13,35,29,6,22,4,33,36,1,31,43,45,39,34,24,16,37,49,44,30,10,18,38,11,2,32,14,46,12,19,47,42,26,28,15,8,3,41,0,5,
43,42,3,12,8,26,23,34,41,44,46,9,33,10,40,15,13,5,21,4,11,36,7,0,1,6,16,45,19,35,17,27,24,25,31,20,48,14,37,22,47,2,39,18,28,30,29,49,38,32,
17,8,1,31,10,14,29,25,4,12,26,15,19,0,5,9,33,27,2,38,23,32,11,49,39,35,43,18,30,28,24,37,6,20,16,13,42,41,47,40,34,48,7,21,44,45,3,22,36,46,
1,10,29,7,23,28,0,15,45,41,2,17,22,6,47,26,33,36,38,43,12,44,42,5,4,8,16,24,3,34,25,49,35,40,19,48,11,46,13,21,18,14,30,20,37,39,9,32,31,27,
43,35,17,34,46,42,11,14,49,15,16,6,38,8,3,28,13,18,36,29,31,12,5,7,39,33,30,4,41,19,1,40,25,47,0,21,26,27,44,37,48,45,20,2,9,32,23,10,24,22,
35,16,10,48,9,27,37,40,21,36,13,14,32,8,4,44,49,18,26,23,30,24,17,43,20,1,33,2,31,22,42,12,19,7,47,29,28,39,34,11,5,38,0,3,46,25,45,41,15,6,
5,8,46,25,48,29,7,45,4,18,30,38,3,40,11,2,21,23,14,20,27,19,1,39,44,13,37,34,6,49,16,22,47,33,43,0,31,15,35,24,12,9,26,28,17,32,10,41,42,36,
39,24,25,16,43,27,17,1,11,10,47,37,7,21,31,9,3,18,34,33,42,2,20,44,19,36,4,6,12,8,30,13,48,29,40,41,14,5,15,32,23,38,0,22,45,49,46,28,35,26,
27,21,47,3,9,24,22,43,44,11,36,17,35,23,38,30,10,0,4,2,34,19,33,20,31,16,1,14,18,7,8,6,13,28,39,25,26,46,5,40,45,15,32,41,29,49,48,37,12,42,
21,9,24,42,15,17,22,27,40,0,13,4,30,5,39,14,6,10,29,33,38,32,25,3,46,28,43,23,26,12,18,47,16,37,2,35,20,48,36,11,31,1,8,34,44,41,7,45,49,19,
26,10,4,13,3,11,21,0,14,12,7,47,16,39,43,15,19,17,8,46,36,30,45,33,38,44,1,23,29,35,18,41,28,34,6,32,22,5,49,25,42,24,2,9,48,31,40,20,27,37,
33,45,32,6,3,44,27,40,41,48,4,30,16,38,2,23,13,37,0,21,10,5,39,15,20,35,12,19,9,47,1,11,24,46,36,29,34,28,8,31,49,26,18,17,43,25,7,22,14,42,
42,35,14,19,25,15,27,31,0,30,36,47,37,20,4,49,40,44,7,3,6,34,10,38,33,46,39,1,29,28,17,43,48,8,2,32,41,26,11,13,18,45,22,16,12,24,21,5,9,23,
36,46,41,32,30,2,21,47,24,4,35,29,8,43,37,11,20,16,45,27,19,38,10,25,42,49,18,1,12,22,0,17,14,33,39,34,48,5,31,44,7,6,15,3,9,23,28,26,13,40,
41,46,26,38,10,37,36,4,16,15,24,22,23,11,19,8,32,6,25,0,18,20,35,3,27,47,17,28,42,21,30,31,48,40,7,45,13,1,9,33,2,34,43,5,39,29,49,44,14,12,
9,35,26,1,31,13,36,14,48,2,27,4,15,23,24,33,44,39,45,0,30,28,8,19,6,11,22,34,43,17,42,29,49,37,47,25,41,18,16,10,46,7,40,3,5,32,21,12,20,38,
10,27,17,7,30,21,39,40,38,1,31,14,45,0,49,16,8,15,2,37,28,33,35,18,46,22,42,4,25,34,20,24,13,41,48,29,6,9,36,32,5,43,47,12,23,3,19,26,11,44,
16,15,17,20,27,24,12,48,14,37,8,25,6,38,7,21,43,0,36,46,40,33,5,10,45,23,28,41,11,22,49,30,2,3,31,35,44,32,18,34,19,39,42,47,29,4,1,13,9,26,
25,0,8,17,18,40,10,46,29,4,32,13,49,14,42,43,19,27,12,26,34,22,45,21,11,44,38,33,9,20,31,41,7,24,3,35,48,1,6,30,23,2,16,37,28,39,47,36,15,5,
1,34,25,41,11,23,46,6,15,3,10,33,44,5,7,21,36,20,19,31,26,8,42,43,48,18,35,37,12,16,13,30,45,28,17,39,38,0,14,47,40,29,9,2,4,49,24,32,22,27,
32,0,31,46,3,6,2,35,27,4,49,9,45,15,39,48,21,5,11,13,36,44,1,29,22,17,40,16,18,28,34,42,26,25,14,12,8,24,37,19,30,43,7,41,38,10,33,47,23,20,
6,17,36,13,1,49,25,8,10,23,26,21,48,18,9,43,30,44,0,22,5,32,3,47,33,41,11,14,16,35,38,40,31,2,34,39,28,7,19,4,20,42,24,27,12,46,37,29,45,15,
3,32,33,11,31,21,12,29,24,42,2,40,27,26,19,8,22,4,35,18,0,41,10,7,9,25,36,6,34,37,44,48,39,43,14,30,47,46,49,20,16,17,13,28,1,15,23,45,5,38,
42,47,25,21,49,13,37,48,34,35,8,27,32,29,2,15,24,28,40,17,0,9,7,19,26,4,12,3,41,10,39,20,11,44,5,22,30,16,45,33,1,43,23,6,31,18,36,14,46,38,
4,12,13,1,24,6,37,43,47,42,22,10,27,33,23,39,15,17,48,49,7,28,35,30,2,19,32,29,11,26,21,41,45,5,34,16,44,18,46,38,3,14,31,9,36,20,25,0,40,8,
34,25,37,4,48,17,30,20,16,33,41,21,26,44,8,45,35,18,23,0,3,42,11,9,15,7,47,1,10,27,29,24,39,43,49,6,28,32,46,31,19,40,12,13,5,14,38,2,36,22,
6,35,10,27,29,26,39,36,45,7,43,20,14,47,37,3,25,9,19,33,0,38,41,8,13,31,1,4,40,30,15,49,22,16,48,11,12,2,17,21,46,32,44,18,34,24,28,5,42,23,
31,28,41,25,30,9,32,46,38,8,29,12,35,36,44,42,10,15,47,4,3,11,7,26,21,0,45,17,14,39,16,5,22,33,24,49,20,18,48,13,27,1,43,2,37,6,40,23,19,34,
34,44,35,11,31,38,33,26,19,24,9,45,5,49,30,41,2,18,15,32,36,46,3,4,14,47,42,22,27,29,40,20,43,12,37,48,39,16,17,6,1,28,0,13,23,21,7,25,10,8,
22,18,31,21,7,34,48,3,41,40,24,46,13,17,47,25,43,8,27,38,32,20,26,5,19,36,10,45,44,2,49,1,37,35,16,11,23,29,12,14,42,30,33,39,28,4,9,6,0,15,
35,0,46,34,3,10,30,2,23,15,38,24,31,14,36,45,40,27,28,22,18,12,48,49,8,16,4,7,20,32,6,39,47,11,19,44,41,13,43,29,26,9,42,33,21,25,5,1,37,17,
36,16,9,1,41,5,31,33,12,23,15,27,19,24,39,29,48,28,47,26,45,38,20,35,14,18,40,46,25,17,11,34,4,7,13,3,6,42,8,21,22,43,30,10,44,37,0,2,32,49,
36,24,16,8,3,33,14,41,29,28,9,20,10,39,34,7,21,31,45,35,13,40,37,0,42,44,11,15,32,19,4,26,18,22,46,17,2,27,23,49,5,12,6,1,47,25,38,43,30,48,
9,47,40,20,43,5,44,11,32,35,13,22,48,26,49,29,3,41,6,46,39,19,10,23,30,34,18,25,33,16,21,1,7,45,4,42,0,36,38,27,8,12,28,15,2,31,37,14,17,24,
0,10,32,30,47,9,37,27,16,1,31,28,29,42,17,20,41,39,24,6,7,40,43,2,15,23,8,45,34,25,21,4,19,35,18,46,13,5,44,22,33,38,49,26,48,36,14,11,12,3,
8,14,45,27,20,12,38,5,6,17,13,28,2,41,49,46,0,33,48,32,25,1,11,47,24,3,43,37,18,30,40,35,16,21,7,4,42,36,31,15,39,44,9,23,29,10,34,22,19,26,
29,16,9,26,40,43,49,1,3,28,2,18,7,46,34,42,32,0,30,47,21,39,24,44,8,14,11,5,6,23,17,37,22,48,45,15,35,10,31,41,20,27,13,12,38,36,33,19,25,4,
26,45,23,44,0,15,42,18,48,24,28,43,49,30,6,29,39,47,33,17,34,10,36,38,11,41,8,25,16,2,32,7,13,46,19,20,1,3,27,12,37,31,4,35,14,9,40,22,21,5,
26,42,1,8,35,34,12,17,45,25,30,24,47,33,43,0,31,39,11,48,41,23,4,19,37,22,6,15,27,18,2,10,29,28,49,36,40,20,46,5,16,32,7,38,14,13,9,21,3,44,
7,15,23,17,34,3,12,25,2,28,19,11,1,16,31,0,33,13,22,27,36,29,14,47,24,42,30,43,32,35,21,37,48,38,39,49,26,6,40,20,18,5,9,8,10,41,44,46,4,45,
11,44,27,19,23,7,37,29,36,15,18,43,46,5,42,25,32,31,2,8,21,9,39,3,45,6,20,28,1,10,16,30,48,0,40,24,34,12,38,47,14,49,17,41,13,33,4,26,35,22,
