0,73,48,42,57,44,63,13,98,17,60,59,69,9,43,2,98,22,98,53,26,72,39,80,70,24,73,8,47,95,33,66,89,77,71,91,29,68,72,43
73,0,29,67,55,18,6,8,31,71,72,51,66,64,24,61,31,18,24,5,1,9,7,43,76,84,97,49,11,95,44,60,55,34,64,84,11,51,52,25
48,29,0,54,28,39,44,54,3,28,2,32,20,35,1,58,53,57,23,2,25,26,41,90,42,73,36,83,43,20,57,16,70,46,72,31,53,44,57,95
42,67,54,0,33,94,81,38,46,39,7,96,98,39,1,27,67,35,45,75,7,15,30,3,32,99,99,69,48,93,31,48,50,19,59,30,50,76,37,68
57,55,28,33,0,90,60,90,22,6,25,95,43,96,61,5,47,72,90,54,21,22,85,18,53,62,5,20,81,87,2,38,58,59,21,16,50,84,65,64
44,18,39,94,90,0,58,75,57,80,64,96,38,86,30,69,30,42,35,55,54,18,49,79,40,66,88,13,94,13,67,80,15,2,71,79,50,52,99,2
63,6,44,81,60,58,0,66,65,43,23,14,15,38,39,70,13,48,10,28,26,45,51,74,9,74,3,38,48,36,13,10,85,57,39,76,65,21,38,84
13,8,54,38,90,75,66,0,90,17,75,95,4,95,38,29,91,17,49,34,85,96,37,23,81,42,77,94,57,74,63,27,58,72,29,39,32,2,1,32
98,31,3,46,22,57,65,90,0,29,75,60,15,12,30,10,57,92,43,26,5,74,60,50,58,42,65,53,72,70,24,18,40,41,8,4,77,10,45,88
17,71,28,39,6,80,43,17,29,0,89,65,42,19,99,73,88,37,60,51,19,88,17,41,39,69,13,73,32,65,27,31,4,87,9,34,96,74,58,67
60,72,2,7,25,64,23,75,75,89,0,2,63,62,43,16,33,93,12,80,67,62,9,59,34,49,71,2,50,62,48,83,29,40,90,18,41,37,26,45
59,51,32,96,95,96,14,95,60,65,2,0,89,42,11,63,1,54,94,99,84,86,77,72,75,60,62,34,95,41,38,18,91,87,54,95,4,31,9,88
69,66,20,98,43,38,15,4,15,42,63,89,0,76,1,60,77,20,2,31,88,90,45,97,76,30,85,86,15,59,46,41,24,11,18,51,18,36,45,78
9,64,35,39,96,86,38,95,12,19,62,42,76,0,97,30,32,17,29,97,98,93,88,47,45,55,68,50,95,21,40,70,47,89,39,52,38,29,70,8
43,24,1,1,61,30,39,38,30,99,43,11,1,97,0,38,82,35,88,39,34,36,51,70,31,60,72,77,93,32,69,56,8,38,91,50,88,89,24,31
2,61,58,27,5,69,70,29,10,73,16,63,60,30,38,0,43,55,75,19,33,90,8,98,99,10,80,63,53,92,20,69,31,63,22,81,79,65,74,62
98,31,53,67,47,30,13,91,57,88,33,1,77,32,82,43,0,51,82,21,27,74,26,41,79,76,23,11,70,71,47,50,36,12,19,35,82,79,74,93
22,18,57,35,72,42,48,17,92,37,93,54,20,17,35,55,51,0,38,24,78,54,75,16,72,64,51,76,25,40,32,61,50,94,94,11,3,80,65,67
98,24,23,45,90,35,10,49,43,60,12,94,2,29,88,75,82,38,0,95,75,20,39,44,56,23,81,78,64,7,71,36,17,28,63,29,72,64,94,89
53,5,2,75,54,55,28,34,26,51,80,99,31,97,39,19,21,24,95,0,74,49,52,2,14,63,77,87,18,7,97,33,14,49,66,1,73,54,93,6
26,1,25,7,21,54,26,85,5,19,67,84,88,98,34,33,27,78,75,74,0,55,89,26,76,25,32,70,42,30,32,37,86,10,48,11,68,41,31,76
72,9,26,15,22,18,45,96,74,88,62,86,90,93,36,90,74,54,20,49,55,0,37,35,25,17,21,28,87,42,22,90,84,86,92,58,64,35,46,50
39,7,41,30,85,49,51,37,60,17,9,77,45,88,51,8,26,75,39,52,89,37,0,53,30,85,52,61,46,29,49,32,90,79,43,52,50,95,26,29
80,43,90,3,18,79,74,23,50,41,59,72,97,47,70,98,41,16,44,2,26,35,53,0,60,53,38,73,89,38,8,11,70,81,72,70,89,90,6,10
70,76,42,32,53,40,9,81,58,39,34,75,76,45,31,99,79,72,56,14,76,25,30,60,0,51,23,59,83,83,99,77,48,50,30,26,53,31,18,34
24,84,73,99,62,66,74,42,42,69,49,60,30,55,60,10,76,64,23,63,25,17,85,53,51,0,91,74,83,22,85,77,95,79,67,60,81,4,4,14
73,97,36,99,5,88,3,77,65,13,71,62,85,68,72,80,23,51,81,77,32,21,52,38,23,91,0,84,43,25,77,98,27,90,81,35,60,30,1,58
8,49,83,69,20,13,38,94,53,73,2,34,86,50,77,63,11,76,78,87,70,28,61,73,59,74,84,0,5,91,89,18,82,37,80,30,54,70,39,19
47,11,43,48,81,94,48,57,72,32,50,95,15,95,93,53,70,25,64,18,42,87,46,89,83,83,43,5,0,67,53,81,18,90,93,39,52,95,6,24
95,95,20,93,87,13,36,74,70,65,62,41,59,21,32,92,71,40,7,7,30,42,29,38,83,22,25,91,67,0,12,96,46,69,39,60,50,90,24,81
33,44,57,31,2,67,13,63,24,27,48,38,46,40,69,20,47,32,71,97,32,22,49,8,99,85,77,89,53,12,0,27,25,92,84,83,94,62,69,72
66,60,16,48,38,80,10,27,18,31,83,18,41,70,56,69,50,61,36,33,37,90,32,11,77,77,98,18,81,96,27,0,35,58,90,48,63,18,38,92
89,55,70,50,58,15,85,58,40,4,29,91,24,47,8,31,36,50,17,14,86,84,90,70,48,95,27,82,18,46,25,35,0,20,80,32,67,23,22,81
77,34,46,19,59,2,57,72,41,87,40,87,11,89,38,63,12,94,28,49,10,86,79,81,50,79,90,37,90,69,92,58,20,0,71,39,15,23,24,71
