0,6,35,32,26,56,15,85,28,82,31,89,54,80,43,56,7,40,8,78
-6,0,7,22,80,56,69,73,19,21,11,4,60,70,98,80,61,69,22,83
-35,-7,0,48,74,20,21,14,52,70,58,91,16,18,9,19,65,52,13,54
-32,-22,-48,0,2,53,94,59,48,78,16,26,14,93,60,42,59,70,93,34
-26,-80,-74,-2,0,88,50,67,55,4,97,13,25,9,85,84,34,2,89,69
-56,-56,-20,-53,-88,0,51,92,94,87,33,96,23,77,99,23,34,92,36,39
-15,-69,-21,-94,-50,-51,0,19,12,7,72,75,14,82,12,9,55,38,74,98
-85,-73,-14,-59,-67,-92,-19,0,51,70,23,78,63,74,49,72,72,27,47,48
-28,-19,-52,-48,-55,-94,-12,-51,0,54,2,13,3,77,81,24,92,62,8,64
-82,-21,-70,-78,-4,-87,-7,-70,-54,0,62,86,13,37,39,39,71,43,5,75
-31,-11,-58,-16,-97,-33,-72,-23,-2,-62,0,1,67,76,52,82,57,60,60,13
-89,-4,-91,-26,-13,-96,-75,-78,-13,-86,-1,0,41,19,93,97,69,10,60,75
-54,-60,-16,-14,-25,-23,-14,-63,-3,-13,-67,-41,0,60,66,62,52,80,27,18
-80,-70,-18,-93,-9,-77,-82,-74,-77,-37,-76,-19,-60,0,53,85,10,88,55,40
-43,-98,-9,-60,-85,-99,-12,-49,-81,-39,-52,-93,-66,-53,0,26,10,73,50,23
-56,-80,-19,-42,-84,-23,-9,-72,-24,-39,-82,-97,-62,-85,-26,0,28,26,67,38
-7,-61,-65,-59,-34,-34,-55,-72,-92,-71,-57,-69,-52,-10,-10,-28,0,90,69,93
-40,-69,-52,-70,-2,-92,-38,-27,-62,-43,-60,-10,-80,-88,-73,-26,-90,0,59,81
-8,-22,-13,-93,-89,-36,-74,-47,-8,-5,-60,-60,-27,-55,-50,-67,-69,-59,0,92
-78,-83,-54,-34,-69,-39,-98,-48,-64,-75,-13,-75,-18,-40,-23,-38,-93,-81,-92,0
