0,16,9,5,5,17,6,4,13,5,9,17,18,1,13
-16,0,19,11,3,18,12,10,18,16,15,11,2,16,9
-9,-19,0,7,11,16,4,4,12,1,18,9,17,11,18
-5,-11,-7,0,14,9,10,9,19,9,19,17,3,14,16
-5,-3,-11,-14,0,1,8,17,7,4,5,4,16,8,16
-17,-18,-16,-9,-1,0,13,13,1,6,10,10,3,11,9
-6,-12,-4,-10,-8,-13,0,18,19,4,16,3,3,13,3
-4,-10,-4,-9,-17,-13,-18,0,6,12,16,18,18,16,8
-13,-18,-12,-19,-7,-1,-19,-6,0,7,9,1,17,4,13
-5,-16,-1,-9,-4,-6,-4,-12,-7,0,7,5,19,11,5
-9,-15,-18,-19,-5,-10,-16,-16,-9,-7,0,19,9,7,14
-17,-11,-9,-17,-4,-10,-3,-18,-1,-5,-19,0,5,10,6
-18,-2,-17,-3,-16,-3,-3,-18,-17,-19,-9,-5,0,16,10
-1,-16,-11,-14,-8,-11,-13,-16,-4,-11,-7,-10,-16,0,9
-13,-9,-18,-16,-16,-9,-3,-8,-13,-5,-14,-6,-10,-9,0
